Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	77	11	69	61	19	31	
		Student 1	25	83	45	52	62	52	
		Student 2	42	31	49	43	65	32	
		Student 3	56	10	47	72	82	97	
		Student 4	30	16	10	87	13	87	
		Student 5	36	89	15	16	89	91	
		Student 6	17	93	75	90	59	10	
		Student 7	80	83	51	37	42	30	
		Student 8	75	19	67	57	65	26	
		Student 9	18	33	92	94	33	20	
		Student 10	49	71	49	35	70	26	
		Student 11	43	30	51	55	66	20	
		Student 12	99	20	17	62	62	42	
		Student 13	41	64	97	90	15	97	
		Student 14	11	23	36	22	99	52	
		Student 15	72	60	74	73	51	20	
		Student 16	71	73	98	36	20	76	
		Student 17	11	73	31	25	77	80	
		Student 18	17	89	31	28	11	39	
		Student 19	28	19	77	15	72	25	
		Student 20	42	71	20	42	47	59	
		Student 21	23	57	35	50	43	66	
		Student 22	28	11	48	25	29	42	
		Student 23	46	30	33	88	48	51	
		Student 24	22	10	84	29	23	18	
		Student 25	34	98	77	62	73	95	
		Student 26	42	19	39	13	65	36	
		Student 27	61	46	43	53	71	50	
		Student 28	12	95	33	85	63	17	
		Student 29	78	54	40	51	66	14	
		Student 30	14	42	68	87	73	30	
		Student 31	65	22	72	59	54	82	
		Student 32	82	96	50	48	37	12	
		Student 33	15	15	84	95	72	10	
		Student 34	89	26	44	92	41	54	
		Student 35	66	96	59	95	11	65	
		Student 36	54	62	66	69	37	83	
		Student 37	15	79	34	48	39	45	
		Student 38	72	72	86	94	92	56	
		Student 39	90	54	77	30	36	58	
		Student 40	86	50	61	31	78	71	
		Student 41	74	64	29	12	93	20	
		Student 42	10	26	58	19	23	26	
		Student 43	14	37	48	70	52	68	
		Student 44	42	60	19	58	28	76	
		Student 45	93	95	84	24	10	48	
		Student 46	48	58	45	73	69	25	
		Student 47	53	82	79	29	81	23	
		Student 48	97	29	68	39	68	20	
		Student 49	65	40	58	94	28	26	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	15	48	25	59	41	42	
		Student 1	74	36	43	46	28	14	
		Student 2	34	39	14	58	50	92	
		Student 3	14	80	51	91	26	65	
		Student 4	39	22	93	25	43	62	
		Student 5	77	17	36	35	33	26	
		Student 6	61	26	32	45	87	65	
		Student 7	44	65	80	73	52	54	
		Student 8	36	47	99	99	88	24	
		Student 9	98	22	63	63	82	92	
		Student 10	86	31	98	89	34	46	
		Student 11	96	22	97	72	27	50	
		Student 12	48	68	44	78	99	63	
		Student 13	74	74	97	50	31	89	
		Student 14	14	56	70	37	22	19	
		Student 15	74	54	43	85	80	31	
		Student 16	24	94	33	90	40	39	
		Student 17	90	82	92	52	75	24	
		Student 18	13	84	38	94	70	77	
		Student 19	26	80	72	60	13	42	
		Student 20	80	99	93	53	30	19	
		Student 21	83	75	45	63	76	91	
		Student 22	95	96	72	24	26	50	
		Student 23	21	79	87	54	16	14	
		Student 24	53	37	14	62	24	22	
		Student 25	24	23	45	84	72	88	
		Student 26	88	26	37	91	60	97	
		Student 27	58	50	69	85	69	42	
		Student 28	95	58	34	97	26	74	
		Student 29	46	37	41	45	82	65	
		Student 30	76	10	37	85	62	81	
		Student 31	50	98	60	56	82	40	
		Student 32	50	39	99	33	99	19	
		Student 33	85	76	13	11	34	21	
		Student 34	13	23	70	62	99	34	
		Student 35	64	76	53	59	99	41	
		Student 36	66	73	32	14	66	57	
		Student 37	12	95	28	22	78	72	
		Student 38	89	63	76	30	28	90	
		Student 39	17	96	91	18	47	90	
		Student 40	65	20	17	21	54	26	
		Student 41	69	24	51	53	28	81	
		Student 42	32	41	51	17	42	53	
		Student 43	58	97	13	46	43	71	
		Student 44	52	65	49	64	33	22	
		Student 45	60	11	82	64	96	56	
		Student 46	60	19	70	67	19	19	
		Student 47	85	29	10	73	46	81	
		Student 48	11	18	38	73	58	67	
		Student 49	80	46	78	18	47	97	
Program 2
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	60	72	29	61	26	13	
		Student 1	87	83	29	13	98	43	
		Student 2	13	58	58	85	76	34	
		Student 3	40	87	76	44	22	17	
		Student 4	48	81	38	91	86	23	
		Student 5	93	67	35	83	72	95	
		Student 6	85	22	66	47	54	13	
		Student 7	20	19	49	88	56	60	
		Student 8	80	69	44	48	83	53	
		Student 9	50	48	25	24	48	35	
		Student 10	67	69	40	15	34	74	
		Student 11	11	82	11	62	58	39	
		Student 12	83	72	33	93	97	28	
		Student 13	94	30	67	52	57	10	
		Student 14	41	35	48	73	26	60	
		Student 15	44	99	59	96	44	54	
		Student 16	56	30	20	27	23	40	
		Student 17	36	96	40	63	39	51	
		Student 18	45	18	59	37	29	59	
		Student 19	89	11	17	23	34	87	
		Student 20	64	94	14	92	21	33	
		Student 21	12	53	96	86	99	33	
		Student 22	34	27	51	19	12	71	
		Student 23	21	43	67	86	68	93	
		Student 24	65	25	38	52	36	31	
		Student 25	42	72	82	90	48	46	
		Student 26	48	39	78	32	60	55	
		Student 27	56	26	74	66	38	75	
		Student 28	60	15	26	95	52	70	
		Student 29	78	92	39	79	35	55	
		Student 30	26	23	79	82	87	14	
		Student 31	30	82	95	45	68	49	
		Student 32	15	92	15	39	96	42	
		Student 33	17	10	49	55	36	82	
		Student 34	30	53	82	32	41	82	
		Student 35	67	74	62	43	36	39	
		Student 36	57	32	41	89	18	37	
		Student 37	29	62	21	93	91	91	
		Student 38	41	71	62	84	21	81	
		Student 39	85	48	31	25	26	66	
		Student 40	29	60	81	39	34	35	
		Student 41	97	57	87	82	86	23	
		Student 42	59	45	91	54	51	85	
		Student 43	72	27	49	73	97	68	
		Student 44	12	68	12	57	50	67	
		Student 45	78	11	14	28	69	95	
		Student 46	87	22	10	55	55	69	
		Student 47	91	61	77	10	46	42	
		Student 48	61	89	25	59	76	43	
		Student 49	12	10	97	58	10	49	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	93	23	85	19	67	37	
		Student 1	63	82	67	98	90	19	
		Student 2	67	43	81	71	70	86	
		Student 3	60	98	57	52	86	89	
		Student 4	69	21	94	38	52	88	
		Student 5	67	42	38	28	50	19	
		Student 6	95	82	24	73	67	69	
		Student 7	85	38	17	83	95	39	
		Student 8	13	38	62	69	73	39	
		Student 9	92	40	97	99	11	53	
		Student 10	61	71	15	13	87	68	
		Student 11	73	52	29	56	95	11	
		Student 12	32	17	19	52	61	13	
		Student 13	62	97	94	10	87	26	
		Student 14	45	65	61	88	74	12	
		Student 15	62	82	19	90	93	58	
		Student 16	31	26	96	29	28	49	
		Student 17	43	82	77	45	56	68	
		Student 18	58	72	14	81	95	22	
		Student 19	80	88	79	36	23	53	
		Student 20	62	89	10	49	36	27	
		Student 21	41	52	95	20	47	30	
		Student 22	17	77	84	52	80	88	
		Student 23	89	45	83	80	44	93	
		Student 24	72	92	33	43	43	27	
		Student 25	82	47	27	27	26	47	
		Student 26	33	37	93	38	29	29	
		Student 27	72	31	45	98	39	83	
		Student 28	43	66	12	38	13	85	
		Student 29	79	96	34	37	70	37	
		Student 30	43	66	63	66	22	29	
		Student 31	53	41	10	37	26	55	
		Student 32	76	36	14	36	57	47	
		Student 33	34	19	13	76	39	62	
		Student 34	26	11	14	32	93	97	
		Student 35	31	72	53	49	84	76	
		Student 36	36	74	58	73	49	65	
		Student 37	65	52	52	51	24	77	
		Student 38	82	23	62	63	74	10	
		Student 39	52	39	98	82	86	57	
		Student 40	52	14	70	18	98	79	
		Student 41	43	63	80	39	92	80	
		Student 42	94	14	59	14	31	14	
		Student 43	61	69	29	74	78	48	
		Student 44	12	91	59	65	55	99	
		Student 45	26	49	44	26	85	59	
		Student 46	51	76	97	28	91	86	
		Student 47	16	29	93	72	74	96	
		Student 48	52	46	83	33	76	20	
		Student 49	81	49	21	95	51	81	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	49	96	45	72	85	44	
		Student 1	80	40	77	17	92	14	
		Student 2	29	48	73	53	71	62	
		Student 3	57	64	23	10	91	70	
		Student 4	69	68	15	55	87	92	
		Student 5	63	84	62	29	12	51	
		Student 6	61	77	37	65	92	37	
		Student 7	95	40	37	38	90	88	
		Student 8	22	96	88	90	23	91	
		Student 9	32	76	73	80	36	65	
		Student 10	63	20	37	62	99	25	
		Student 11	16	61	54	37	27	48	
		Student 12	23	68	90	12	89	67	
		Student 13	62	94	93	34	73	27	
		Student 14	47	94	71	61	96	98	
		Student 15	75	60	99	89	97	33	
		Student 16	18	89	79	70	88	61	
		Student 17	49	49	68	29	51	61	
		Student 18	40	73	60	31	58	18	
		Student 19	95	71	46	33	34	85	
		Student 20	63	15	76	32	37	90	
		Student 21	13	62	64	46	56	40	
		Student 22	81	57	39	15	63	33	
		Student 23	97	27	87	90	95	93	
		Student 24	31	69	98	76	85	71	
		Student 25	79	97	44	40	43	88	
		Student 26	25	69	78	56	36	63	
		Student 27	48	65	44	19	86	50	
		Student 28	74	73	16	70	45	36	
		Student 29	22	73	49	98	71	55	
		Student 30	45	28	80	20	96	66	
		Student 31	43	86	36	19	37	30	
		Student 32	59	86	84	43	88	70	
		Student 33	58	38	73	30	53	78	
		Student 34	78	83	96	91	95	12	
		Student 35	70	31	78	22	76	92	
		Student 36	46	85	86	88	70	52	
		Student 37	24	46	37	46	50	69	
		Student 38	95	93	92	88	49	13	
		Student 39	85	45	51	76	93	92	
		Student 40	77	24	37	10	21	97	
		Student 41	64	52	27	91	45	59	
		Student 42	11	96	91	38	65	63	
		Student 43	21	54	82	27	98	19	
		Student 44	44	78	98	13	53	70	
		Student 45	23	61	70	98	95	26	
		Student 46	66	26	20	48	60	22	
		Student 47	92	26	56	14	94	66	
		Student 48	33	38	74	60	29	76	
		Student 49	73	38	68	15	64	48	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	18	64	82	92	68	49	
		Student 1	58	88	65	35	63	17	
		Student 2	36	45	16	36	84	62	
		Student 3	39	16	91	53	69	45	
		Student 4	75	50	23	38	51	31	
		Student 5	67	80	95	43	57	92	
		Student 6	88	14	46	81	47	77	
		Student 7	80	60	57	32	56	21	
		Student 8	63	65	12	46	75	81	
		Student 9	93	20	53	90	95	19	
		Student 10	86	82	41	90	28	63	
		Student 11	92	83	89	89	21	84	
		Student 12	81	15	72	16	98	12	
		Student 13	89	39	76	63	48	93	
		Student 14	88	46	48	47	64	15	
		Student 15	77	47	75	29	63	40	
		Student 16	86	60	95	93	52	74	
		Student 17	94	10	48	99	92	57	
		Student 18	89	27	63	81	76	71	
		Student 19	58	41	81	37	25	27	
		Student 20	25	33	44	13	85	51	
		Student 21	16	28	13	54	85	66	
		Student 22	47	87	16	69	52	30	
		Student 23	49	64	98	90	79	16	
		Student 24	87	33	46	71	89	10	
		Student 25	47	92	62	53	30	47	
		Student 26	95	25	28	37	11	14	
		Student 27	67	23	38	86	95	40	
		Student 28	99	38	19	83	67	92	
		Student 29	86	89	67	31	36	33	
		Student 30	77	66	19	63	68	25	
		Student 31	46	56	25	74	87	51	
		Student 32	97	30	16	92	78	72	
		Student 33	16	20	45	98	26	26	
		Student 34	18	82	67	83	81	26	
		Student 35	30	88	37	12	69	48	
		Student 36	85	25	59	12	93	34	
		Student 37	47	38	88	40	65	58	
		Student 38	10	26	55	69	96	57	
		Student 39	77	60	94	41	31	12	
		Student 40	46	70	63	83	12	23	
		Student 41	84	75	32	92	49	96	
		Student 42	50	89	26	14	81	89	
		Student 43	93	35	63	60	45	91	
		Student 44	75	63	64	48	41	21	
		Student 45	40	80	66	95	13	57	
		Student 46	97	10	53	84	32	65	
		Student 47	72	93	81	62	60	22	
		Student 48	69	81	63	93	41	62	
		Student 49	27	89	50	11	56	47	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	67	96	82	78	63	22	
		Student 1	23	43	81	28	62	46	
		Student 2	20	57	54	95	15	78	
		Student 3	82	60	86	16	84	83	
		Student 4	13	98	54	65	78	80	
		Student 5	35	36	89	84	55	16	
		Student 6	44	28	99	62	75	24	
		Student 7	68	74	80	11	45	60	
		Student 8	45	64	70	43	93	99	
		Student 9	69	71	21	12	10	75	
		Student 10	95	64	39	14	66	49	
		Student 11	79	60	78	40	37	17	
		Student 12	62	24	24	23	40	24	
		Student 13	75	27	19	40	32	44	
		Student 14	26	85	88	94	58	74	
		Student 15	88	87	81	81	62	35	
		Student 16	69	64	88	50	75	64	
		Student 17	40	57	93	11	42	60	
		Student 18	27	20	26	87	86	13	
		Student 19	10	74	72	28	62	28	
		Student 20	95	42	53	13	72	29	
		Student 21	15	34	19	52	52	28	
		Student 22	76	33	26	62	64	30	
		Student 23	63	46	60	38	93	14	
		Student 24	45	46	37	96	33	79	
		Student 25	28	91	12	25	11	55	
		Student 26	36	32	62	50	79	68	
		Student 27	45	88	75	32	94	46	
		Student 28	19	28	71	26	80	84	
		Student 29	15	24	74	35	44	43	
		Student 30	41	99	22	52	70	96	
		Student 31	54	83	18	93	31	80	
		Student 32	74	61	70	66	64	72	
		Student 33	58	72	42	88	54	39	
		Student 34	17	12	14	26	23	61	
		Student 35	98	33	12	21	57	71	
		Student 36	62	87	51	72	14	51	
		Student 37	73	31	76	39	59	23	
		Student 38	84	39	43	88	30	62	
		Student 39	79	75	10	49	51	92	
		Student 40	19	27	79	37	55	92	
		Student 41	96	63	62	44	37	38	
		Student 42	36	23	17	35	17	92	
		Student 43	36	99	40	45	21	38	
		Student 44	84	19	75	32	35	54	
		Student 45	58	31	62	70	33	85	
		Student 46	36	56	86	20	45	20	
		Student 47	99	24	18	78	38	22	
		Student 48	31	57	89	48	35	22	
		Student 49	79	10	88	41	38	25	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	42	16	64	37	53	59	
		Student 1	39	55	17	54	61	42	
		Student 2	91	77	53	55	49	46	
		Student 3	90	31	13	57	98	79	
		Student 4	64	52	15	55	45	34	
		Student 5	21	66	26	23	91	42	
		Student 6	17	46	48	32	98	54	
		Student 7	78	34	83	53	20	67	
		Student 8	46	51	90	27	67	19	
		Student 9	69	61	76	10	29	40	
		Student 10	85	93	41	27	73	48	
		Student 11	66	26	40	95	91	38	
		Student 12	30	93	70	77	88	52	
		Student 13	27	58	12	92	91	32	
		Student 14	46	17	24	74	87	81	
		Student 15	97	69	52	95	41	80	
		Student 16	92	26	60	74	37	14	
		Student 17	75	93	33	67	11	76	
		Student 18	43	79	90	32	68	21	
		Student 19	51	11	35	31	69	65	
		Student 20	37	82	61	51	96	75	
		Student 21	85	64	59	62	95	64	
		Student 22	27	48	60	59	65	89	
		Student 23	42	82	80	80	33	24	
		Student 24	53	68	80	84	91	76	
		Student 25	22	14	65	85	14	86	
		Student 26	45	58	99	73	50	95	
		Student 27	56	95	88	14	63	56	
		Student 28	76	37	62	60	50	86	
		Student 29	48	50	70	37	20	37	
		Student 30	91	12	86	94	88	79	
		Student 31	63	77	14	55	94	15	
		Student 32	71	70	65	34	15	21	
		Student 33	99	23	20	16	89	30	
		Student 34	43	77	24	84	91	55	
		Student 35	26	31	80	69	11	22	
		Student 36	80	78	52	69	99	22	
		Student 37	84	39	64	48	65	89	
		Student 38	31	25	61	11	63	80	
		Student 39	94	74	39	13	21	88	
		Student 40	14	66	84	30	20	34	
		Student 41	43	18	23	10	22	30	
		Student 42	19	20	61	64	10	34	
		Student 43	77	58	95	48	83	20	
		Student 44	69	66	29	14	27	48	
		Student 45	98	16	90	55	77	51	
		Student 46	24	65	51	66	56	69	
		Student 47	15	20	88	17	52	31	
		Student 48	57	27	20	86	63	44	
		Student 49	62	74	52	50	56	36	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	10	17	41	64	90	37	
		Student 1	65	57	96	84	67	30	
		Student 2	28	99	77	90	13	96	
		Student 3	73	13	52	80	77	96	
		Student 4	93	27	11	29	21	20	
		Student 5	87	65	86	99	50	37	
		Student 6	29	27	67	91	28	13	
		Student 7	22	33	69	95	47	84	
		Student 8	81	46	95	51	96	84	
		Student 9	98	59	94	71	24	46	
		Student 10	70	71	48	95	70	30	
		Student 11	26	73	12	95	68	83	
		Student 12	25	33	39	96	97	17	
		Student 13	13	16	83	16	25	31	
		Student 14	53	75	39	42	83	15	
		Student 15	45	16	91	23	66	79	
		Student 16	44	64	83	67	92	32	
		Student 17	78	45	47	53	10	86	
		Student 18	98	62	92	36	37	17	
		Student 19	58	87	44	97	81	34	
		Student 20	38	39	46	42	40	43	
		Student 21	67	45	14	58	79	48	
		Student 22	43	84	53	21	65	24	
		Student 23	10	36	51	15	52	43	
		Student 24	13	50	85	84	17	67	
		Student 25	76	90	33	78	37	85	
		Student 26	60	87	84	50	63	56	
		Student 27	52	47	53	69	39	57	
		Student 28	13	97	85	29	23	61	
		Student 29	87	60	50	16	71	44	
		Student 30	19	30	72	76	19	91	
		Student 31	80	50	67	49	31	42	
		Student 32	74	82	13	82	62	94	
		Student 33	44	87	17	66	15	14	
		Student 34	84	37	88	60	34	47	
		Student 35	24	91	51	23	32	27	
		Student 36	80	21	24	87	55	74	
		Student 37	70	43	92	71	98	94	
		Student 38	90	96	52	73	55	57	
		Student 39	57	55	81	19	10	62	
		Student 40	99	65	87	96	34	76	
		Student 41	36	64	94	73	21	57	
		Student 42	18	76	41	27	11	56	
		Student 43	88	63	80	25	71	65	
		Student 44	44	98	76	11	96	37	
		Student 45	10	55	69	98	85	81	
		Student 46	23	90	76	78	68	67	
		Student 47	74	12	37	67	73	69	
		Student 48	55	75	60	34	93	77	
		Student 49	29	42	30	72	69	45	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	50	64	63	33	17	64	
		Student 1	52	10	71	31	54	43	
		Student 2	90	28	92	43	82	35	
		Student 3	37	32	87	24	92	92	
		Student 4	45	25	31	12	20	14	
		Student 5	53	94	77	55	79	22	
		Student 6	65	84	16	49	65	96	
		Student 7	56	67	30	35	68	87	
		Student 8	99	28	52	59	76	66	
		Student 9	25	32	13	11	80	64	
		Student 10	30	40	54	83	44	88	
		Student 11	45	10	10	34	96	36	
		Student 12	72	29	66	54	30	37	
		Student 13	62	22	89	64	15	35	
		Student 14	37	64	24	71	55	96	
		Student 15	39	72	69	14	94	30	
		Student 16	55	58	36	10	89	83	
		Student 17	73	83	84	43	16	57	
		Student 18	61	56	48	69	74	63	
		Student 19	45	71	58	73	91	20	
		Student 20	43	98	43	36	63	12	
		Student 21	31	41	23	17	67	23	
		Student 22	71	33	22	32	88	48	
		Student 23	96	15	96	12	99	29	
		Student 24	12	57	61	49	82	81	
		Student 25	49	99	10	67	62	43	
		Student 26	92	93	93	94	31	47	
		Student 27	41	40	25	89	10	41	
		Student 28	88	47	37	48	70	41	
		Student 29	12	97	87	36	34	26	
		Student 30	20	34	96	27	13	80	
		Student 31	92	23	58	94	65	28	
		Student 32	73	20	80	73	95	56	
		Student 33	60	63	43	82	91	75	
		Student 34	69	26	51	87	50	88	
		Student 35	66	22	81	80	32	37	
		Student 36	83	57	88	81	22	53	
		Student 37	28	59	60	94	13	24	
		Student 38	54	14	78	40	61	50	
		Student 39	69	64	44	44	32	27	
		Student 40	21	93	45	95	61	49	
		Student 41	98	34	73	49	49	32	
		Student 42	20	79	62	18	12	63	
		Student 43	72	70	83	34	31	88	
		Student 44	63	46	93	80	94	53	
		Student 45	11	31	16	83	46	99	
		Student 46	29	90	24	85	50	17	
		Student 47	71	98	19	78	55	92	
		Student 48	91	69	12	19	57	66	
		Student 49	57	69	69	44	93	26	
Program 3
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	65	88	62	58	81	90	
		Student 1	91	95	37	65	45	33	
		Student 2	33	69	77	83	83	42	
		Student 3	86	24	39	96	82	87	
		Student 4	13	64	10	12	90	29	
		Student 5	68	68	11	68	83	91	
		Student 6	46	37	37	30	44	19	
		Student 7	19	90	27	18	22	57	
		Student 8	29	46	85	54	31	41	
		Student 9	95	26	19	67	16	93	
		Student 10	31	35	13	91	15	46	
		Student 11	94	64	26	92	30	41	
		Student 12	55	28	86	29	60	73	
		Student 13	64	75	56	98	57	66	
		Student 14	93	38	73	63	76	29	
		Student 15	52	56	66	84	90	77	
		Student 16	81	40	81	26	22	84	
		Student 17	29	45	88	67	70	82	
		Student 18	95	53	67	85	86	82	
		Student 19	64	11	63	18	23	82	
		Student 20	90	28	47	71	47	38	
		Student 21	14	77	33	54	52	87	
		Student 22	12	42	43	51	15	30	
		Student 23	69	45	24	44	67	21	
		Student 24	32	92	41	72	34	73	
		Student 25	96	81	65	49	42	37	
		Student 26	49	76	60	15	27	37	
		Student 27	42	23	68	71	15	94	
		Student 28	67	67	75	69	27	34	
		Student 29	63	99	18	12	70	32	
		Student 30	73	83	32	42	97	13	
		Student 31	61	89	10	13	35	23	
		Student 32	39	70	20	65	92	46	
		Student 33	52	81	88	87	36	27	
		Student 34	99	84	37	82	61	84	
		Student 35	78	84	19	41	13	29	
		Student 36	39	38	54	60	17	62	
		Student 37	94	66	49	39	54	41	
		Student 38	17	17	26	18	37	19	
		Student 39	69	18	13	34	73	16	
		Student 40	61	79	70	59	11	98	
		Student 41	36	41	37	77	20	15	
		Student 42	82	18	69	73	29	12	
		Student 43	50	85	61	28	78	97	
		Student 44	42	56	50	74	19	23	
		Student 45	80	11	25	52	41	41	
		Student 46	41	40	45	73	53	82	
		Student 47	43	98	33	91	36	22	
		Student 48	53	84	25	70	16	60	
		Student 49	64	64	18	58	92	62	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	54	57	52	10	91	46	
		Student 1	58	47	11	93	15	87	
		Student 2	10	10	61	91	41	96	
		Student 3	58	26	32	59	33	18	
		Student 4	40	39	41	86	67	83	
		Student 5	94	15	65	50	27	71	
		Student 6	97	82	46	57	51	97	
		Student 7	73	64	13	38	95	99	
		Student 8	39	44	97	76	75	41	
		Student 9	41	75	86	28	14	44	
		Student 10	71	58	29	26	97	55	
		Student 11	29	56	22	65	26	90	
		Student 12	53	37	51	85	85	76	
		Student 13	69	19	12	52	39	53	
		Student 14	29	92	14	91	91	18	
		Student 15	75	20	97	70	22	35	
		Student 16	76	67	70	88	76	15	
		Student 17	62	37	15	90	90	93	
		Student 18	81	82	40	79	57	51	
		Student 19	45	18	93	70	80	46	
		Student 20	93	55	18	37	58	45	
		Student 21	10	38	25	95	29	79	
		Student 22	85	78	50	76	49	34	
		Student 23	23	81	24	29	56	13	
		Student 24	91	56	22	62	68	34	
		Student 25	68	99	97	32	45	59	
		Student 26	45	65	31	46	25	32	
		Student 27	42	10	39	42	21	31	
		Student 28	36	80	49	94	49	76	
		Student 29	51	95	44	63	34	94	
		Student 30	63	75	72	93	78	32	
		Student 31	71	24	27	29	73	80	
		Student 32	44	68	19	50	87	10	
		Student 33	90	72	67	65	56	76	
		Student 34	18	66	63	32	56	97	
		Student 35	58	53	87	67	31	87	
		Student 36	92	28	34	99	62	98	
		Student 37	23	96	88	82	35	65	
		Student 38	68	25	65	36	10	48	
		Student 39	44	99	19	78	48	62	
		Student 40	74	76	38	79	95	23	
		Student 41	94	57	45	78	75	36	
		Student 42	91	89	97	39	76	99	
		Student 43	47	86	40	79	92	40	
		Student 44	24	71	31	15	59	76	
		Student 45	63	41	61	68	39	79	
		Student 46	23	87	30	73	38	19	
		Student 47	40	83	47	91	17	55	
		Student 48	66	16	11	98	21	11	
		Student 49	61	81	76	66	19	97	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	15	55	50	18	27	62	
		Student 1	31	45	33	68	71	90	
		Student 2	71	21	98	46	24	27	
		Student 3	37	57	93	26	64	38	
		Student 4	19	42	40	96	72	49	
		Student 5	66	43	19	90	45	70	
		Student 6	54	72	56	96	44	48	
		Student 7	66	90	87	50	37	38	
		Student 8	48	22	83	36	25	98	
		Student 9	32	95	92	11	49	78	
		Student 10	84	90	57	70	64	82	
		Student 11	95	20	12	39	63	83	
		Student 12	69	77	39	29	79	39	
		Student 13	46	34	28	18	54	84	
		Student 14	36	76	66	90	55	81	
		Student 15	33	80	62	19	16	54	
		Student 16	29	65	47	14	50	12	
		Student 17	89	63	53	88	66	33	
		Student 18	95	35	23	48	13	41	
		Student 19	22	19	96	32	31	66	
		Student 20	82	11	29	20	10	55	
		Student 21	85	49	72	95	84	39	
		Student 22	48	52	16	40	36	80	
		Student 23	56	47	39	61	64	57	
		Student 24	19	91	18	54	13	79	
		Student 25	43	33	89	77	81	68	
		Student 26	12	25	93	50	78	24	
		Student 27	19	72	52	61	58	82	
		Student 28	84	89	79	53	46	79	
		Student 29	79	58	31	62	63	63	
		Student 30	42	14	73	61	59	82	
		Student 31	95	20	26	29	83	22	
		Student 32	49	91	29	64	54	77	
		Student 33	61	18	34	91	56	46	
		Student 34	43	62	17	53	52	65	
		Student 35	29	48	50	68	39	32	
		Student 36	84	50	82	56	35	44	
		Student 37	79	97	19	25	32	61	
		Student 38	41	22	26	66	28	54	
		Student 39	40	43	51	95	68	47	
		Student 40	64	50	11	69	31	78	
		Student 41	14	80	60	64	27	54	
		Student 42	63	66	94	77	68	26	
		Student 43	26	75	72	62	87	31	
		Student 44	87	65	20	27	32	17	
		Student 45	93	26	22	93	28	99	
		Student 46	53	49	19	55	73	20	
		Student 47	88	20	78	90	65	40	
		Student 48	51	63	38	87	48	11	
		Student 49	96	73	21	77	96	97	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	56	64	27	22	69	80	
		Student 1	87	92	34	78	30	25	
		Student 2	56	35	60	16	99	78	
		Student 3	51	76	62	46	40	62	
		Student 4	25	63	56	14	87	69	
		Student 5	38	95	85	45	18	99	
		Student 6	39	80	98	95	25	90	
		Student 7	59	92	43	76	82	84	
		Student 8	35	90	36	47	33	41	
		Student 9	26	31	12	25	91	61	
		Student 10	51	70	34	77	39	70	
		Student 11	32	26	52	46	52	68	
		Student 12	98	67	76	52	76	58	
		Student 13	79	63	92	71	95	73	
		Student 14	89	18	83	96	15	29	
		Student 15	11	38	86	70	45	82	
		Student 16	79	40	40	48	12	26	
		Student 17	39	44	23	44	51	88	
		Student 18	90	88	33	38	65	35	
		Student 19	76	44	57	20	53	21	
		Student 20	93	43	78	71	25	79	
		Student 21	77	65	83	59	45	43	
		Student 22	71	10	32	23	62	56	
		Student 23	23	89	34	40	82	48	
		Student 24	97	69	34	70	90	13	
		Student 25	76	59	33	90	90	32	
		Student 26	50	31	58	29	22	23	
		Student 27	19	23	44	72	76	18	
		Student 28	39	28	12	22	10	76	
		Student 29	22	19	96	38	59	19	
		Student 30	86	67	11	64	67	50	
		Student 31	79	75	12	20	67	30	
		Student 32	31	74	33	12	53	79	
		Student 33	56	72	57	28	78	35	
		Student 34	79	12	78	94	55	25	
		Student 35	64	43	25	12	89	54	
		Student 36	39	23	23	27	66	21	
		Student 37	14	13	28	68	59	24	
		Student 38	82	10	19	99	32	38	
		Student 39	39	70	89	10	24	22	
		Student 40	90	85	14	34	36	38	
		Student 41	16	39	75	49	18	77	
		Student 42	27	31	28	41	46	18	
		Student 43	73	14	10	83	49	14	
		Student 44	16	73	44	99	69	37	
		Student 45	24	92	26	95	83	49	
		Student 46	34	17	53	42	12	51	
		Student 47	69	89	54	94	90	35	
		Student 48	57	10	40	32	21	41	
		Student 49	62	71	77	79	93	61	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
