Program 0
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	90	86	62	10	34	66	
		Student 1	29	30	19	69	66	17	
		Student 2	63	31	69	47	98	29	
		Student 3	26	74	78	36	57	37	
		Student 4	47	45	55	42	87	36	
		Student 5	19	39	48	34	65	43	
		Student 6	13	86	41	92	14	21	
		Student 7	56	50	53	10	34	16	
		Student 8	19	91	92	11	23	35	
		Student 9	62	47	94	48	35	53	
		Student 10	43	70	33	17	19	66	
		Student 11	68	27	85	67	53	32	
		Student 12	24	99	46	68	50	63	
		Student 13	68	83	28	28	56	17	
		Student 14	66	28	69	97	65	86	
		Student 15	94	58	94	22	74	29	
		Student 16	86	24	62	59	72	83	
		Student 17	36	85	87	50	93	90	
		Student 18	15	11	66	38	47	11	
		Student 19	50	54	41	21	46	79	
		Student 20	40	49	53	27	96	32	
		Student 21	53	74	68	59	97	40	
		Student 22	50	76	85	32	37	48	
		Student 23	19	83	40	85	18	12	
		Student 24	92	53	41	96	15	21	
		Student 25	15	58	53	87	86	15	
		Student 26	87	28	18	15	47	14	
		Student 27	43	50	56	74	55	24	
		Student 28	42	10	52	93	82	70	
		Student 29	79	80	45	80	60	99	
		Student 30	77	25	86	66	67	94	
		Student 31	81	54	28	69	84	25	
		Student 32	61	12	82	56	43	37	
		Student 33	18	34	99	56	27	45	
		Student 34	85	47	88	70	56	85	
		Student 35	45	10	73	70	81	39	
		Student 36	11	87	99	25	91	98	
		Student 37	65	29	72	47	17	20	
		Student 38	64	96	52	66	98	81	
		Student 39	33	73	23	22	32	25	
		Student 40	77	52	26	14	93	48	
		Student 41	27	37	26	15	89	61	
		Student 42	34	87	31	12	82	56	
		Student 43	60	25	74	81	91	84	
		Student 44	22	47	20	27	31	91	
		Student 45	87	45	94	17	71	56	
		Student 46	39	90	90	65	55	77	
		Student 47	65	95	39	71	77	21	
		Student 48	19	63	35	77	59	62	
		Student 49	10	49	86	55	27	22	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	40	98	99	74	25	95	
		Student 1	51	86	72	45	66	15	
		Student 2	99	14	59	54	52	84	
		Student 3	31	36	46	84	88	83	
		Student 4	85	93	64	92	96	20	
		Student 5	90	95	69	61	21	49	
		Student 6	62	41	83	60	33	33	
		Student 7	48	84	25	49	21	15	
		Student 8	34	24	48	42	76	18	
		Student 9	95	24	88	88	61	19	
		Student 10	12	29	34	33	92	29	
		Student 11	37	47	70	65	61	59	
		Student 12	63	85	25	15	20	86	
		Student 13	93	16	90	65	63	98	
		Student 14	50	88	61	26	86	56	
		Student 15	48	49	79	84	71	45	
		Student 16	35	70	44	59	29	64	
		Student 17	80	23	95	50	21	32	
		Student 18	97	39	50	98	79	78	
		Student 19	84	46	79	36	25	72	
		Student 20	21	45	48	55	23	61	
		Student 21	25	62	68	58	71	39	
		Student 22	85	96	12	30	13	56	
		Student 23	90	64	31	13	27	54	
		Student 24	21	76	50	76	40	81	
		Student 25	40	84	24	16	88	17	
		Student 26	60	26	74	67	68	23	
		Student 27	53	37	41	91	69	28	
		Student 28	90	23	85	34	53	84	
		Student 29	17	41	35	97	85	49	
		Student 30	44	18	49	66	32	89	
		Student 31	89	42	99	68	60	46	
		Student 32	36	25	98	32	52	58	
		Student 33	12	80	32	57	72	14	
		Student 34	95	13	98	39	28	86	
		Student 35	90	95	47	43	18	64	
		Student 36	65	55	48	62	13	55	
		Student 37	72	39	76	61	27	64	
		Student 38	42	23	91	19	34	67	
		Student 39	46	10	51	33	13	85	
		Student 40	40	61	43	42	24	26	
		Student 41	55	11	72	78	41	95	
		Student 42	82	30	68	26	52	62	
		Student 43	44	98	56	94	31	74	
		Student 44	39	70	11	83	44	35	
		Student 45	76	45	42	31	57	68	
		Student 46	55	43	29	78	53	60	
		Student 47	68	19	97	44	20	82	
		Student 48	19	41	45	67	57	75	
		Student 49	90	49	40	39	58	80	
Program 2
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	75	36	72	37	56	25	
		Student 1	15	47	26	57	39	85	
		Student 2	69	30	49	11	22	88	
		Student 3	19	37	12	91	32	90	
		Student 4	45	59	22	41	63	49	
		Student 5	48	57	18	28	23	98	
		Student 6	47	86	47	96	65	31	
		Student 7	51	45	82	49	43	31	
		Student 8	51	80	61	51	89	53	
		Student 9	29	81	26	90	27	45	
		Student 10	92	95	53	56	66	38	
		Student 11	63	65	37	72	13	73	
		Student 12	37	81	95	20	16	99	
		Student 13	30	76	45	96	67	56	
		Student 14	96	41	25	27	40	18	
		Student 15	52	18	43	59	74	54	
		Student 16	59	61	12	43	12	49	
		Student 17	39	80	28	85	10	22	
		Student 18	84	73	75	84	17	72	
		Student 19	20	39	30	21	97	93	
		Student 20	27	61	51	36	89	17	
		Student 21	21	84	51	84	25	98	
		Student 22	86	87	73	23	81	59	
		Student 23	67	35	19	52	11	54	
		Student 24	63	83	98	63	12	88	
		Student 25	91	29	12	91	77	95	
		Student 26	47	76	83	82	83	67	
		Student 27	41	99	29	73	82	79	
		Student 28	14	99	66	87	79	55	
		Student 29	37	71	30	39	66	80	
		Student 30	64	42	61	46	24	74	
		Student 31	69	36	82	24	74	73	
		Student 32	19	26	62	92	13	55	
		Student 33	51	64	66	93	94	34	
		Student 34	51	99	68	45	50	26	
		Student 35	93	67	28	18	54	36	
		Student 36	86	84	85	86	63	23	
		Student 37	48	71	66	34	74	57	
		Student 38	11	12	90	27	64	12	
		Student 39	71	63	62	37	39	41	
		Student 40	94	50	81	40	42	41	
		Student 41	54	10	93	70	36	45	
		Student 42	94	44	84	92	47	12	
		Student 43	69	25	91	69	20	25	
		Student 44	73	17	72	47	26	72	
		Student 45	91	77	37	11	46	32	
		Student 46	63	41	76	74	20	37	
		Student 47	95	54	41	36	25	77	
		Student 48	94	18	50	37	77	16	
		Student 49	44	95	57	11	93	25	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	87	42	56	65	25	12	
		Student 1	36	65	66	56	72	60	
		Student 2	65	84	84	67	98	78	
		Student 3	82	46	89	35	95	79	
		Student 4	69	79	19	79	30	97	
		Student 5	63	48	21	59	43	17	
		Student 6	84	42	18	30	34	18	
		Student 7	78	21	12	62	52	29	
		Student 8	91	69	57	74	51	11	
		Student 9	32	89	47	12	27	87	
		Student 10	65	46	47	89	29	88	
		Student 11	76	39	49	10	24	25	
		Student 12	61	89	66	34	93	41	
		Student 13	99	76	97	22	45	54	
		Student 14	84	17	48	92	85	31	
		Student 15	78	59	90	56	51	24	
		Student 16	17	80	63	46	21	83	
		Student 17	45	27	17	65	55	18	
		Student 18	18	62	23	84	27	52	
		Student 19	66	71	60	86	30	97	
		Student 20	94	55	77	13	27	59	
		Student 21	30	56	24	15	48	13	
		Student 22	52	76	85	17	88	82	
		Student 23	12	16	63	33	59	30	
		Student 24	40	36	57	31	31	96	
		Student 25	71	90	19	95	77	76	
		Student 26	85	13	75	75	85	32	
		Student 27	66	13	44	43	61	95	
		Student 28	22	66	62	60	30	60	
		Student 29	78	32	25	53	30	77	
		Student 30	67	84	15	59	18	37	
		Student 31	84	67	30	73	29	27	
		Student 32	79	29	58	37	77	26	
		Student 33	41	62	56	87	27	75	
		Student 34	76	16	43	19	40	88	
		Student 35	89	95	21	80	55	52	
		Student 36	67	35	78	83	73	62	
		Student 37	96	14	35	17	73	88	
		Student 38	50	64	89	37	95	10	
		Student 39	29	75	90	63	15	28	
		Student 40	72	43	36	81	68	43	
		Student 41	91	67	58	38	39	28	
		Student 42	46	30	43	63	17	27	
		Student 43	41	36	86	86	40	28	
		Student 44	25	75	54	31	83	13	
		Student 45	37	71	30	69	30	29	
		Student 46	99	31	88	34	47	82	
		Student 47	13	26	57	28	52	66	
		Student 48	85	78	40	19	31	75	
		Student 49	66	79	37	12	11	20	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	64	85	48	55	88	34	
		Student 1	98	88	40	81	30	60	
		Student 2	99	77	46	84	36	25	
		Student 3	73	27	18	25	12	72	
		Student 4	18	50	52	32	87	84	
		Student 5	40	61	40	97	23	95	
		Student 6	39	89	28	67	39	87	
		Student 7	49	96	63	52	22	13	
		Student 8	97	97	28	48	23	76	
		Student 9	79	73	19	49	38	66	
		Student 10	50	61	34	71	59	26	
		Student 11	36	65	49	31	99	94	
		Student 12	31	28	19	73	62	68	
		Student 13	37	97	62	96	45	59	
		Student 14	97	89	79	18	86	80	
		Student 15	28	77	14	42	43	35	
		Student 16	87	95	35	21	27	81	
		Student 17	49	82	12	56	11	81	
		Student 18	76	56	48	15	84	13	
		Student 19	35	31	32	45	24	11	
		Student 20	82	66	68	97	11	35	
		Student 21	68	94	17	96	50	55	
		Student 22	67	64	30	79	31	85	
		Student 23	70	20	19	12	94	71	
		Student 24	67	85	66	39	26	89	
		Student 25	71	84	58	50	53	20	
		Student 26	62	52	21	77	67	90	
		Student 27	23	32	64	46	20	74	
		Student 28	77	13	68	64	31	12	
		Student 29	56	99	14	85	54	95	
		Student 30	94	47	89	30	84	54	
		Student 31	29	90	70	52	29	32	
		Student 32	99	47	20	96	61	51	
		Student 33	72	39	53	42	27	97	
		Student 34	24	76	14	43	16	57	
		Student 35	41	97	78	16	66	36	
		Student 36	34	25	49	49	13	51	
		Student 37	16	79	72	20	40	12	
		Student 38	65	58	91	55	97	22	
		Student 39	14	24	91	72	10	46	
		Student 40	72	84	53	48	73	23	
		Student 41	89	66	32	92	26	44	
		Student 42	32	78	20	64	14	49	
		Student 43	50	86	42	83	17	23	
		Student 44	46	52	32	46	58	58	
		Student 45	15	85	14	91	43	18	
		Student 46	50	60	97	57	25	51	
		Student 47	46	68	59	12	55	24	
		Student 48	93	84	15	53	16	14	
		Student 49	11	27	17	94	20	80	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	62	40	52	79	41	65	
		Student 1	85	72	95	22	88	87	
		Student 2	27	16	85	15	69	80	
		Student 3	38	68	57	54	20	33	
		Student 4	29	46	35	48	37	58	
		Student 5	28	60	39	49	53	24	
		Student 6	21	33	95	99	34	30	
		Student 7	66	95	98	94	47	83	
		Student 8	49	74	33	77	18	27	
		Student 9	43	70	52	70	11	16	
		Student 10	95	28	27	75	98	40	
		Student 11	59	24	85	59	37	63	
		Student 12	57	84	21	59	56	25	
		Student 13	67	36	41	43	18	28	
		Student 14	48	97	97	55	87	24	
		Student 15	17	90	98	26	76	53	
		Student 16	87	93	55	79	90	76	
		Student 17	26	59	19	26	83	96	
		Student 18	45	20	99	92	15	98	
		Student 19	10	35	41	52	50	38	
		Student 20	79	84	68	99	17	45	
		Student 21	84	70	29	27	53	42	
		Student 22	58	39	37	25	70	64	
		Student 23	80	81	47	96	27	85	
		Student 24	48	23	91	99	27	42	
		Student 25	86	98	91	60	58	72	
		Student 26	98	24	71	28	60	63	
		Student 27	56	35	23	51	24	50	
		Student 28	31	12	28	66	36	77	
		Student 29	43	82	32	27	53	92	
		Student 30	81	57	51	77	95	15	
		Student 31	91	31	19	54	51	39	
		Student 32	16	98	89	99	50	98	
		Student 33	19	27	11	16	70	64	
		Student 34	65	89	32	48	59	36	
		Student 35	63	26	30	15	32	29	
		Student 36	24	31	16	90	31	89	
		Student 37	32	47	51	26	90	28	
		Student 38	74	29	70	27	46	69	
		Student 39	75	87	22	21	95	66	
		Student 40	37	17	33	95	57	78	
		Student 41	17	93	15	94	68	43	
		Student 42	90	94	18	81	15	72	
		Student 43	43	57	44	82	30	95	
		Student 44	29	29	63	43	71	47	
		Student 45	60	83	37	59	56	41	
		Student 46	99	71	77	96	37	16	
		Student 47	48	63	52	94	34	51	
		Student 48	24	64	21	59	77	27	
		Student 49	76	96	36	82	97	40	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	22	99	14	59	30	71	
		Student 1	50	95	92	59	48	41	
		Student 2	12	96	62	83	32	17	
		Student 3	29	64	16	49	74	82	
		Student 4	87	13	91	91	75	52	
		Student 5	40	49	31	65	91	61	
		Student 6	36	66	13	79	37	62	
		Student 7	29	80	42	24	29	78	
		Student 8	17	18	30	12	22	92	
		Student 9	83	19	85	53	18	26	
		Student 10	46	82	78	77	67	89	
		Student 11	61	19	28	89	98	51	
		Student 12	54	34	15	57	54	55	
		Student 13	59	98	57	79	65	51	
		Student 14	60	76	29	39	88	22	
		Student 15	58	11	38	31	81	14	
		Student 16	47	98	19	95	13	41	
		Student 17	51	53	91	85	68	66	
		Student 18	95	82	78	44	77	30	
		Student 19	92	40	82	11	99	86	
		Student 20	63	49	30	79	55	26	
		Student 21	35	79	93	95	63	20	
		Student 22	57	32	10	37	33	76	
		Student 23	78	50	71	90	28	70	
		Student 24	93	99	44	72	37	75	
		Student 25	32	61	59	41	15	82	
		Student 26	31	13	90	76	96	48	
		Student 27	24	66	82	51	42	52	
		Student 28	32	59	29	66	86	64	
		Student 29	13	84	88	82	19	60	
		Student 30	77	56	81	52	68	83	
		Student 31	33	99	23	29	39	62	
		Student 32	94	26	74	85	90	48	
		Student 33	99	77	38	96	24	16	
		Student 34	36	79	82	34	79	23	
		Student 35	80	95	30	51	21	88	
		Student 36	83	39	77	44	53	42	
		Student 37	16	31	19	18	38	53	
		Student 38	96	98	90	89	88	42	
		Student 39	40	42	38	23	76	52	
		Student 40	34	52	54	31	60	39	
		Student 41	19	97	80	74	20	16	
		Student 42	60	95	94	15	93	18	
		Student 43	56	23	91	24	18	21	
		Student 44	34	10	74	73	66	87	
		Student 45	53	48	20	72	95	67	
		Student 46	93	61	26	81	45	73	
		Student 47	51	15	16	60	52	49	
		Student 48	77	99	24	83	85	76	
		Student 49	92	85	99	41	42	33	
	Semester 5
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	28	68	34	48	60	44	
		Student 1	56	38	65	98	36	67	
		Student 2	61	72	45	86	79	25	
		Student 3	41	60	74	76	74	84	
		Student 4	39	31	26	70	15	98	
		Student 5	80	20	76	76	37	69	
		Student 6	44	67	25	96	47	70	
		Student 7	93	31	67	95	47	25	
		Student 8	34	90	54	91	85	81	
		Student 9	14	72	54	43	54	94	
		Student 10	55	69	20	89	36	36	
		Student 11	14	42	61	96	87	80	
		Student 12	60	54	31	59	54	51	
		Student 13	30	76	86	56	79	43	
		Student 14	42	37	32	73	36	57	
		Student 15	81	72	92	13	27	46	
		Student 16	55	87	91	19	58	69	
		Student 17	91	73	84	19	37	88	
		Student 18	50	30	94	36	76	85	
		Student 19	24	20	78	53	13	42	
		Student 20	62	20	31	72	42	50	
		Student 21	70	18	74	51	93	37	
		Student 22	39	47	98	56	78	39	
		Student 23	64	31	36	98	77	48	
		Student 24	34	86	72	73	66	64	
		Student 25	63	58	27	97	63	27	
		Student 26	46	20	37	84	14	65	
		Student 27	60	51	90	76	23	98	
		Student 28	82	59	90	37	70	81	
		Student 29	57	54	99	83	10	43	
		Student 30	50	13	78	97	96	83	
		Student 31	15	63	54	75	46	55	
		Student 32	26	90	41	38	41	55	
		Student 33	31	92	80	43	17	74	
		Student 34	99	99	92	13	96	37	
		Student 35	43	26	13	38	73	97	
		Student 36	75	66	22	49	17	49	
		Student 37	68	71	30	73	89	34	
		Student 38	43	28	21	94	54	32	
		Student 39	65	68	11	32	12	80	
		Student 40	13	63	14	27	98	35	
		Student 41	72	58	11	15	38	49	
		Student 42	36	72	32	98	15	53	
		Student 43	10	16	52	37	99	67	
		Student 44	38	26	98	60	67	17	
		Student 45	76	11	18	94	88	67	
		Student 46	15	18	40	19	43	62	
		Student 47	71	65	35	28	56	30	
		Student 48	22	13	42	30	94	50	
		Student 49	27	54	25	58	67	44	
	Semester 6
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	87	22	31	40	69	48	
		Student 1	93	67	98	93	55	98	
		Student 2	38	28	26	72	75	87	
		Student 3	25	93	80	16	77	85	
		Student 4	30	88	10	27	65	59	
		Student 5	95	38	41	38	68	14	
		Student 6	88	21	56	17	67	34	
		Student 7	13	82	40	52	57	64	
		Student 8	87	56	28	71	94	66	
		Student 9	83	66	60	82	88	52	
		Student 10	14	97	44	31	90	42	
		Student 11	44	37	76	61	78	33	
		Student 12	41	28	79	64	29	91	
		Student 13	19	44	10	10	89	76	
		Student 14	55	55	29	87	36	20	
		Student 15	97	24	72	92	80	37	
		Student 16	97	48	67	98	86	55	
		Student 17	72	72	66	47	68	50	
		Student 18	11	27	91	15	11	38	
		Student 19	17	79	93	50	24	80	
		Student 20	69	72	79	67	26	26	
		Student 21	42	37	12	51	72	26	
		Student 22	60	54	47	58	99	84	
		Student 23	59	71	24	57	26	84	
		Student 24	25	64	98	80	18	48	
		Student 25	73	33	12	94	48	83	
		Student 26	94	24	49	46	62	45	
		Student 27	77	79	25	80	35	66	
		Student 28	72	29	41	79	33	40	
		Student 29	91	69	65	43	96	82	
		Student 30	16	81	65	82	54	47	
		Student 31	33	28	79	78	89	50	
		Student 32	80	38	70	47	50	63	
		Student 33	83	29	52	97	29	58	
		Student 34	74	77	62	88	22	59	
		Student 35	45	73	11	31	76	48	
		Student 36	82	42	46	13	79	31	
		Student 37	47	89	88	78	87	68	
		Student 38	83	25	26	31	73	17	
		Student 39	17	90	82	91	51	74	
		Student 40	33	12	76	94	94	50	
		Student 41	33	36	50	54	95	32	
		Student 42	55	26	58	15	10	20	
		Student 43	70	11	87	35	58	53	
		Student 44	52	43	76	47	52	55	
		Student 45	26	46	28	64	48	44	
		Student 46	86	21	70	41	16	15	
		Student 47	51	26	11	53	89	69	
		Student 48	48	64	44	17	49	89	
		Student 49	74	11	21	27	97	16	
	Semester 7
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	38	85	51	26	75	79	
		Student 1	32	39	46	49	37	93	
		Student 2	85	75	43	91	19	97	
		Student 3	29	45	65	37	74	82	
		Student 4	72	82	75	71	94	53	
		Student 5	91	48	22	26	97	61	
		Student 6	88	79	34	85	28	93	
		Student 7	55	43	12	49	79	89	
		Student 8	41	17	64	44	87	50	
		Student 9	22	34	55	80	52	68	
		Student 10	18	56	90	82	65	97	
		Student 11	95	59	25	35	32	56	
		Student 12	72	20	14	31	74	36	
		Student 13	83	54	43	82	79	23	
		Student 14	61	67	28	50	81	36	
		Student 15	39	39	51	68	57	20	
		Student 16	51	90	93	29	45	70	
		Student 17	17	87	15	67	89	38	
		Student 18	45	16	40	55	63	41	
		Student 19	23	29	63	38	55	19	
		Student 20	97	96	31	43	44	72	
		Student 21	66	62	68	77	84	35	
		Student 22	21	87	59	24	40	93	
		Student 23	78	46	63	21	11	23	
		Student 24	84	54	14	45	63	25	
		Student 25	24	87	43	44	64	28	
		Student 26	94	93	40	15	57	43	
		Student 27	62	17	75	41	55	41	
		Student 28	43	86	85	18	29	99	
		Student 29	41	90	58	58	33	29	
		Student 30	58	17	34	47	35	25	
		Student 31	53	12	17	16	89	90	
		Student 32	54	72	56	87	64	13	
		Student 33	45	17	14	45	87	13	
		Student 34	21	99	77	42	71	34	
		Student 35	41	81	76	26	14	61	
		Student 36	65	78	39	96	13	51	
		Student 37	10	27	57	45	80	80	
		Student 38	84	38	18	95	39	37	
		Student 39	36	60	91	33	27	57	
		Student 40	78	77	80	82	38	93	
		Student 41	16	60	87	14	65	48	
		Student 42	49	82	11	81	97	96	
		Student 43	95	89	76	72	67	77	
		Student 44	62	49	21	42	64	66	
		Student 45	49	89	11	83	15	30	
		Student 46	71	28	33	57	38	69	
		Student 47	68	88	14	13	82	50	
		Student 48	79	89	48	13	76	43	
		Student 49	70	50	40	90	13	78	
Program 3
	Semester 0
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	16	74	13	91	65	92	
		Student 1	38	57	64	56	11	90	
		Student 2	75	90	11	70	46	50	
		Student 3	26	92	39	73	87	17	
		Student 4	97	19	37	17	85	92	
		Student 5	35	83	69	86	91	83	
		Student 6	70	76	79	74	13	20	
		Student 7	96	26	29	46	63	54	
		Student 8	39	42	53	74	65	54	
		Student 9	74	29	85	58	45	32	
		Student 10	92	38	47	24	77	87	
		Student 11	18	14	62	79	87	46	
		Student 12	36	93	64	99	17	48	
		Student 13	50	33	57	58	69	97	
		Student 14	99	91	30	80	18	24	
		Student 15	59	86	66	51	75	57	
		Student 16	64	29	71	47	52	73	
		Student 17	11	29	23	32	42	25	
		Student 18	45	12	74	91	33	52	
		Student 19	26	71	79	97	32	65	
		Student 20	71	58	28	58	69	73	
		Student 21	65	80	61	70	96	41	
		Student 22	52	80	29	14	98	66	
		Student 23	55	73	33	56	79	23	
		Student 24	65	39	21	79	39	61	
		Student 25	65	41	96	83	93	94	
		Student 26	27	14	88	86	76	73	
		Student 27	30	15	52	60	64	72	
		Student 28	94	97	64	10	67	91	
		Student 29	35	61	64	58	93	18	
		Student 30	11	35	27	17	44	93	
		Student 31	20	17	19	85	14	13	
		Student 32	17	39	95	97	39	37	
		Student 33	26	88	87	36	81	67	
		Student 34	65	73	91	13	65	45	
		Student 35	11	54	46	37	68	18	
		Student 36	79	48	46	66	39	72	
		Student 37	38	95	25	44	94	30	
		Student 38	91	52	33	72	13	69	
		Student 39	69	96	26	20	47	33	
		Student 40	90	31	19	68	64	95	
		Student 41	92	40	36	11	95	57	
		Student 42	36	16	16	26	81	76	
		Student 43	91	66	68	84	88	29	
		Student 44	44	49	47	94	30	11	
		Student 45	98	88	36	62	45	75	
		Student 46	15	53	88	25	41	85	
		Student 47	62	70	94	82	72	74	
		Student 48	29	42	58	80	62	45	
		Student 49	38	72	47	36	37	40	
	Semester 1
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	75	72	78	95	81	79	
		Student 1	80	74	99	66	92	73	
		Student 2	31	59	34	21	71	68	
		Student 3	80	51	70	79	26	40	
		Student 4	27	66	68	71	46	32	
		Student 5	41	60	63	78	44	46	
		Student 6	27	69	58	27	24	40	
		Student 7	87	24	92	91	38	72	
		Student 8	19	73	90	67	59	54	
		Student 9	23	98	30	18	13	61	
		Student 10	49	87	75	93	20	20	
		Student 11	86	86	39	48	56	56	
		Student 12	23	25	92	51	83	42	
		Student 13	16	61	51	39	46	10	
		Student 14	73	61	62	24	85	88	
		Student 15	86	48	77	17	77	10	
		Student 16	74	72	42	94	78	56	
		Student 17	30	40	88	43	64	70	
		Student 18	60	84	23	46	37	73	
		Student 19	35	90	82	48	58	89	
		Student 20	63	28	27	69	43	72	
		Student 21	15	41	34	73	86	22	
		Student 22	42	11	70	27	34	42	
		Student 23	79	25	56	66	90	25	
		Student 24	20	67	80	30	51	24	
		Student 25	99	20	97	10	57	92	
		Student 26	59	41	80	49	36	11	
		Student 27	50	82	31	58	41	25	
		Student 28	17	28	75	69	61	65	
		Student 29	36	80	25	99	61	59	
		Student 30	25	65	31	87	88	55	
		Student 31	54	27	82	41	77	29	
		Student 32	39	23	35	42	12	82	
		Student 33	78	79	93	50	75	67	
		Student 34	90	91	16	23	62	69	
		Student 35	27	49	58	21	87	24	
		Student 36	51	39	79	86	21	11	
		Student 37	97	47	28	88	35	96	
		Student 38	47	82	61	87	54	46	
		Student 39	83	89	20	99	75	48	
		Student 40	78	34	94	87	69	69	
		Student 41	63	76	81	91	46	75	
		Student 42	22	96	25	14	74	29	
		Student 43	51	97	46	46	23	89	
		Student 44	77	92	94	17	66	82	
		Student 45	45	33	83	11	14	11	
		Student 46	25	48	43	91	55	47	
		Student 47	86	51	39	75	73	11	
		Student 48	73	45	49	67	49	58	
		Student 49	37	94	55	50	60	86	
	Semester 2
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	47	73	41	89	25	32	
		Student 1	13	19	73	43	13	46	
		Student 2	82	67	12	93	89	62	
		Student 3	63	89	94	93	74	60	
		Student 4	62	35	38	48	36	25	
		Student 5	55	16	24	79	50	69	
		Student 6	17	23	75	62	22	93	
		Student 7	36	44	81	57	29	58	
		Student 8	41	67	40	95	71	46	
		Student 9	63	84	78	30	93	57	
		Student 10	85	73	11	71	80	38	
		Student 11	19	71	36	49	29	88	
		Student 12	30	46	31	48	55	98	
		Student 13	10	33	82	94	38	10	
		Student 14	61	74	89	97	58	24	
		Student 15	17	48	37	77	33	32	
		Student 16	96	87	92	50	90	95	
		Student 17	99	50	44	34	61	48	
		Student 18	69	95	28	63	44	40	
		Student 19	47	24	90	30	82	30	
		Student 20	14	85	42	65	82	20	
		Student 21	92	47	66	72	99	37	
		Student 22	23	97	82	20	10	58	
		Student 23	61	21	33	16	12	81	
		Student 24	73	18	15	61	29	45	
		Student 25	11	91	74	92	26	81	
		Student 26	44	24	53	92	77	14	
		Student 27	87	50	65	97	85	98	
		Student 28	43	18	87	46	63	84	
		Student 29	16	58	72	65	88	71	
		Student 30	99	28	79	43	74	48	
		Student 31	22	64	26	72	32	85	
		Student 32	42	38	73	71	18	91	
		Student 33	42	99	74	33	69	96	
		Student 34	55	10	15	62	64	10	
		Student 35	10	54	31	75	21	55	
		Student 36	35	87	84	98	85	44	
		Student 37	78	95	49	26	41	26	
		Student 38	13	77	92	78	30	51	
		Student 39	24	21	17	35	18	40	
		Student 40	69	51	61	84	77	65	
		Student 41	81	98	50	84	91	32	
		Student 42	71	62	20	86	35	65	
		Student 43	55	50	78	81	62	97	
		Student 44	46	15	87	30	67	50	
		Student 45	78	49	78	46	69	89	
		Student 46	37	99	87	29	14	82	
		Student 47	55	23	65	12	79	65	
		Student 48	41	27	72	42	84	77	
		Student 49	89	85	82	45	78	16	
	Semester 3
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
		Student 0	29	69	29	82	28	39	
		Student 1	75	75	82	85	93	96	
		Student 2	37	41	21	54	74	12	
		Student 3	29	64	51	56	50	62	
		Student 4	71	40	34	76	78	32	
		Student 5	10	82	57	79	44	13	
		Student 6	41	85	14	90	20	11	
		Student 7	59	53	68	84	37	18	
		Student 8	77	35	43	66	94	85	
		Student 9	47	83	40	21	45	15	
		Student 10	24	17	30	79	17	82	
		Student 11	73	33	15	97	65	13	
		Student 12	74	61	65	84	86	47	
		Student 13	11	36	58	47	13	56	
		Student 14	38	82	92	73	37	66	
		Student 15	38	17	73	69	11	86	
		Student 16	50	92	77	22	36	21	
		Student 17	18	62	35	48	41	78	
		Student 18	30	77	64	58	60	76	
		Student 19	88	99	92	90	95	44	
		Student 20	96	44	91	26	19	21	
		Student 21	38	24	94	41	46	13	
		Student 22	10	46	80	88	42	27	
		Student 23	98	45	75	68	91	75	
		Student 24	60	30	19	27	66	84	
		Student 25	14	56	33	24	53	32	
		Student 26	15	39	94	11	65	79	
		Student 27	17	45	25	76	69	56	
		Student 28	19	72	15	93	95	16	
		Student 29	44	97	14	57	34	36	
		Student 30	57	90	76	28	67	43	
		Student 31	20	52	51	62	30	40	
		Student 32	86	26	75	40	58	46	
		Student 33	33	34	77	54	77	19	
		Student 34	19	59	77	46	11	13	
		Student 35	55	40	61	29	14	83	
		Student 36	56	67	15	28	94	83	
		Student 37	57	31	84	52	57	23	
		Student 38	24	96	46	18	87	40	
		Student 39	78	36	70	98	39	19	
		Student 40	56	53	11	85	27	16	
		Student 41	72	41	84	26	63	36	
		Student 42	24	68	68	64	67	65	
		Student 43	58	37	35	36	90	51	
		Student 44	65	90	88	75	16	41	
		Student 45	98	95	79	95	84	33	
		Student 46	10	90	75	73	86	65	
		Student 47	15	26	23	59	72	77	
		Student 48	54	65	96	97	89	44	
		Student 49	37	27	44	74	90	45	
	Semester 4
		Student No. Sb0	Sb1	Sb2	Sb3	Sb4	Sb5	
